year,artist.inverted,track,time,genre,date.entered,week,rank
2000,TLC,Dear Lie,4:36,Rock,2000-02-12,x1st.week,63.0
2000,"Gill, Vince",Feels Like Love,4:13,Country,2000-09-02,x1st.week,82.0
2000,"Houston, Whitney",Could I Have This Kiss Forever,3:54,Rock,2000-06-17,x1st.week,74.0
2000,Bloodhound Gang,The Bad Touch,4:20,R&B,2000-03-18,x1st.week,70.0
2000,"Williams, Robbie",Angels,3:56,Rock,1999-11-20,x1st.week,85.0
2000,"Messina, Jo Dee",Because You Love Me,3:50,Country,2000-01-29,x1st.week,83.0
2000,"Keith, Toby",Country Comes To Town,3:39,Country,2000-08-05,x1st.week,82.0
2000,Beenie Man,Girls Dem Sugar,4:17,Reggae,2000-10-21,x1st.week,72.0
2000,"Hill, Faith",Let's Make Love,4:11,Rap,2000-08-12,x1st.week,83.0
2000,Kelis,Caught Out There,4:09,R&B,1999-12-04,x1st.week,84.0
2000,Jay-Z,Anything,3:41,Rap,2000-02-26,x1st.week,72.0
2000,3 Doors Down,Loser,4:24,Rock,2000-10-21,x1st.week,76.0
2000,Brooks & Dunn,You'll Always Be Loved By Me,2:58,Country,2000-06-10,x1st.week,95.0
2000,"Chesney, Kenny",What I Need To Do,4:05,Country,2000-04-01,x1st.week,79.0
2000,"Stone, Angie",No More Rain (In This Cloud),4:42,R&B,1999-12-25,x1st.week,86.0
2000,Da Brat,That's What I'm Looking For,3:44,Rap,2000-02-26,x1st.week,93.0
2000,SheDaisy,This Woman Needs,3:20,Country,2000-02-05,x1st.week,82.0
2000,Papa Roach,Last Resort,3:19,Rock,2000-07-29,x1st.week,75.0
2000,"Adams, Yolanda",Open My Heart,5:30,Gospel,2000-08-26,x1st.week,76.0
2000,Shyne,Bad Boyz,4:22,Rap,2000-09-09,x1st.week,94.0
2000,R.E.M.,The Great Beyond,4:10,Rock,1999-12-25,x1st.week,79.0
2000,"Diffie, Joe",It's Always Somethin',2:55,Country,2000-08-12,x1st.week,81.0
2000,"McGraw, Tim",Some Things Never Change,3:56,Country,2000-05-13,x1st.week,76.0
2000,"Henley, Don",Taking You Home,4:08,Rock,2000-06-24,x1st.week,79.0
2000,Eminem,The Way I Am,4:40,Rap,2000-08-26,x1st.week,87.0
2000,Nas,You Owe Me,3:51,R&B,2000-03-25,x1st.week,74.0
2000,Sister Hazel,Change Your Mind,4:02,Rock,2000-07-15,x1st.week,75.0
2000,Puff Daddy,Best Friend,5:33,Rap,2000-02-12,x1st.week,65.0
2000,"McBride, Martina",There You Are,3:26,Country,2000-09-09,x1st.week,79.0
2000,Usher,Pop Ya Collar,3:36,Rock,2000-11-04,x1st.week,68.0
2000,Lil' Kim,No Matter What They Say,4:12,Rap,2000-07-15,x1st.week,80.0
2000,LFO,I Don't Wanna Kiss You Goodnight,5:00,Rock,2000-04-15,x1st.week,63.0
2000,SheDaisy,Deck The Halls,3:46,Country,1999-12-25,x1st.week,97.0
2000,Splender,I Think God Can Explain,3:55,R&B,2000-06-10,x1st.week,71.0
2000,"Simpson, Jessica",Where You Are,3:51,Rock,2000-04-01,x1st.week,73.0
2000,M2M,Mirror Mirror,3:19,Pop,2000-04-01,x1st.week,87.0
2000,Kumbia Kings,U Don't Love Me,3:50,R&B,2000-03-04,x1st.week,81.0
2000,Joe,Treat Her Like A Lady,4:12,Rock,2000-08-05,x1st.week,77.0
2000,"Blige, Mary J.",Deep Inside,5:26,Rock,1999-11-13,x1st.week,83.0
2000,"Price, Kelly",You Should've Told Me,3:12,Rock,2000-09-23,x1st.week,91.0
2000,Changing Faces,That Other Woman,4:00,Rock,2000-09-30,x1st.week,80.0
2000,"Wright, Chely",It Was,3:51,R&B,2000-03-04,x1st.week,86.0
2000,Limp Bizkit,Rollin',4:04,Rock,2000-11-11,x1st.week,77.0
2000,Hot Boys,I Need A Hot Girl,4:16,Rap,2000-02-19,x1st.week,77.0
2000,Jay-Z,Do It Again (Put Ya Hands Up),3:47,Rap,2000-01-15,x1st.week,95.0
2000,"Adkins, Trace",More,3:05,Country,2000-04-29,x1st.week,84.0
2000,"Dixie Chicks, The",Cold Day In July,5:12,Country,2000-06-24,x1st.week,80.0
2000,"Price, Kelly",As We Lay,6:20,Rock,2000-07-15,x1st.week,82.0
2000,DMX,What's My Name,3:50,Rap,2000-01-15,x1st.week,98.0
2000,"Martin, Ricky",Private Emotion,4:02,Latin,2000-03-11,x1st.week,76.0
2000,Nine Days,If I Am,4:18,Rock,2000-12-02,x1st.week,68.0
2000,"Blige, Mary J.",Give Me You,5:00,Rock,2000-04-15,x1st.week,97.0
2000,Red Hot Chili Peppers,Californication,5:21,Rock,2000-07-29,x1st.week,72.0
2000,Third Eye Blind,Deep Inside Of You,4:10,Rock,2000-09-02,x1st.week,80.0
2000,"Brooks, Garth",Do What You Gotta Do,2:56,Country,2000-02-19,x1st.week,86.0
2000,"Offspring, The",Original Prankster,3:42,Rock,2000-11-25,x1st.week,74.0
2000,"Anthony, Marc",My Baby You,3:59,Latin,2000-09-16,x1st.week,82.0
2000,"Houston, Whitney","Same Script, Different Cast",4:45,Rock,2000-06-17,x1st.week,71.0
2000,D'Angelo,Left & Right,4:35,R&B,1999-12-11,x1st.week,93.0
2000,"Kravitz, Lenny",I Belong To You,4:17,Rock,2000-03-25,x1st.week,78.0
2000,"Loveless, Patty",That's The Kind Of Mood I'm In,3:27,Country,2000-09-16,x1st.week,98.0
2000,Q-Tip,Breathe And Stop,4:06,Rock,2000-01-22,x1st.week,71.0
2000,"Rimes, LeAnn",Can't Fight The Moonlight,3:33,Country,2000-09-09,x1st.week,82.0
2000,Lil Wayne,Tha Block Is Hot,4:13,Rap,1999-12-04,x1st.week,99.0
2000,2 Pac,Baby Don't Cry (Keep Ya Head Up II),4:22,Rap,2000-02-26,x1st.week,87.0
2000,"Wallflowers, The",Sleepwalker,3:29,Rock,2000-10-28,x1st.week,73.0
2000,Drama,"Left, Right, Left",3:37,Rap,2000-02-12,x1st.week,100.0
2000,Limp Bizkit,N 2 Gether Now,3:55,Rock,1999-12-04,x1st.week,94.0
2000,Lox,"Ryde or Die, Chick",3:56,Rap,2000-03-18,x1st.week,86.0
2000,Ying Yang Twins,Whistle While You Twurk,4:19,Rap,2000-03-18,x1st.week,95.0
2000,"Walker, Clay","Live, Laugh, Love",4:06,Country,1999-12-04,x1st.week,95.0
2000,Metallica,No Leaf Clover (Live),5:43,Rock,2000-02-12,x1st.week,86.0
2000,Yankee Grey,Another Nine Minutes,3:10,Country,2000-04-29,x1st.week,86.0
2000,"Bega, Lou",Tricky Tricky ,3:23,Rock,2000-01-29,x1st.week,75.0
2000,Big Punisher,It's So Hard,3:25,Rap,2000-04-22,x1st.week,96.0
2000,"Worley, Darryl",When You Need My Love,3:35,Country,2000-06-17,x1st.week,98.0
2000,Lil' Kim,How Many Licks?,3:50,Rap,2000-11-25,x1st.week,79.0
2000,"Clark, Terri",A Little Gasoline,3:07,Country,2000-12-16,x1st.week,75.0
2000,"Brock, Chad",A Country Boy Can Survive,3:54,Country,2000-01-01,x1st.week,93.0
2000,"Cagle, Chris",My Love Goes On And On,3:02,Country,2000-10-21,x1st.week,99.0
2000,"Byrd, Tracy",Put Your Hand In Mine,4:30,Country,2000-01-29,x1st.week,81.0
2000,Metallica,I Disappear,4:26,Rock,2000-05-13,x1st.week,86.0
2000,Jay-Z,Hey Papi,3:40,Rap,2000-08-12,x1st.week,98.0
2000,Fatboy Slim,The Rockafeller Skank,4:00,Electronica,1999-11-13,x1st.week,94.0
2000,"Levert, Gerald",Mr. Too Damn Good,4:06,R&B,2000-03-18,x1st.week,84.0
2000,"McKnight, Brian",Stay Or Let It Go,4:32,Rock,2000-02-26,x1st.week,95.0
2000,"Allan, Gary",Smoke Rings In The Dark,4:18,Country,2000-01-22,x1st.week,80.0
2000,Ginuwine,The Best Man I Can Be,4:06,Rock,2000-01-08,x1st.week,97.0
2000,Before Dark,Monica,4:04,Rock,2000-05-20,x1st.week,95.0
2000,"Estefan, Gloria",No Me Dejes De Querer,3:25,Rock,2000-06-10,x1st.week,77.0
2000,Stone Temple Pilots,Sour Girl,4:16,Rock,2000-07-08,x1st.week,79.0
2000,Montgomery Gentry,Daddy Won't Sell The Farm,4:18,Country,2000-03-04,x1st.week,87.0
2000,"Cyrus, Billy Ray",You Won't Be Lonely Now,3:45,Country,2000-09-23,x1st.week,97.0
2000,Clark Family Experience,Meanwhile Back At The Ranch,2:56,Country,2000-11-18,x1st.week,87.0
2000,"Thomas, Carl",Summer Rain,4:57,Rock,2000-09-23,x1st.week,82.0
2000,"Yearwood, Trisha",Real Live Woman,3:55,Country,2000-04-01,x1st.week,85.0
2000,Trick Daddy,Shut Up,4:17,Rap,2000-05-20,x1st.week,99.0
2000,"Moore, Chante",Straight Up,3:40,Rock,2000-10-28,x1st.week,98.0
2000,Cam'ron,What Means The World To You,4:38,Rap,2000-10-14,x1st.week,94.0
2000,Juvenile,U Understand,3:51,Rap,2000-02-05,x1st.week,85.0
2000,"Hollister, Dave",Can't Stay,6:17,Rock,2000-03-25,x1st.week,84.0
2000,Tamia,Can't Go For That,3:38,Rock,2000-09-16,x1st.week,90.0
2000,LFO,West Side Story,3:27,Rock,2000-08-05,x1st.week,96.0
2000,"Paisley, Brad",Me Neither,3:19,Country,2000-05-13,x1st.week,87.0
2000,"Carter, Torrey",Take That,3:43,Rock,2000-06-24,x1st.week,94.0
2000,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3:15,R&B,2000-09-02,x1st.week,91.0
2000,Madison Avenue,Don't Call Me Baby,3:44,Electronica,2000-07-08,x1st.week,98.0
2000,Eve,Got It All,3:48,Rap,2000-07-15,x1st.week,89.0
2000,Limp Bizkit,Re-Arranged,4:08,Rock,1999-12-04,x1st.week,91.0
2000,"Spencer, Tracie",Still In My Heart,4:11,Rock,2000-03-04,x1st.week,95.0
2000,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,x1st.week,97.0
2000,Tamar,If You Don't Wanna Love Me,4:02,Rock,2000-03-25,x1st.week,98.0
2000,"Levert, Gerald",Baby U Are,4:10,R&B,2000-08-19,x1st.week,96.0
2000,"Hart, Beth",L.A. Song,3:47,Country,1999-11-27,x1st.week,99.0
2000,"Diffie, Joe",The Quittin' Kind,3:23,Country,2000-01-01,x1st.week,98.0
2000,Funkmaster Flex,Do You,4:14,Rap,2000-11-11,x1st.week,92.0
2000,"Price, Kelly",Love Sets You Free,3:46,Rock,2000-05-13,x1st.week,92.0
2000,En Vogue,Riddle,5:10,Rock,2000-06-17,x1st.week,92.0
2000,"Herndon, Ty",No Mercy,4:43,Country,2000-03-18,x1st.week,100.0
2000,Anastacia,I'm Outta Love,4:01,Pop,2000-04-01,x1st.week,92.0
2000,Trina,Pull Over,2:58,Rap,2000-09-09,x1st.week,97.0
2000,Lil' Mo,Ta Da,4:17,Rap,2000-08-12,x1st.week,100.0
2000,A*Teens,Dancing Queen,3:44,Pop,2000-07-08,x1st.week,97.0
2000,"Sheist, Shade",Where I Wanna Be,4:16,Rap,2000-11-11,x1st.week,96.0
2000,De La Soul,All Good?,5:02,Rap,2000-12-23,x1st.week,96.0
2000,"Larrieux, Amel",Get Up,4:02,R&B,2000-03-04,x1st.week,100.0
2000,"Braxton, Toni",Spanish Guitar,4:24,Rock,2000-12-02,x1st.week,98.0
2000,Tuesday,I Know,4:06,Rock,2000-12-30,x1st.week,98.0
2000,LL Cool J,Imagine That,4:00,Rap,2000-08-12,x1st.week,99.0
2000,Master P,Souljas,3:33,Rap,2000-11-18,x1st.week,98.0
2000,Ghostface Killah,Cherchez LaGhost,3:04,R&B,2000-08-05,x1st.week,98.0
2000,"Smith, Will",Freakin' It,3:58,Rap,2000-02-12,x1st.week,99.0
2000,Zombie Nation,Kernkraft 400,3:30,Rock,2000-09-02,x1st.week,99.0
